from_x,from_y,to_x,to_y,param1,param2,param3
48,3,-16,-22,1,0,4
-27,-16,47,4,16,0,4
48,4,-22,-19,1,0,4
-31,-13,47,5,16,0,4
48,5,-27,-16,1,0,4
-34,-10,47,6,16,0,4
48,6,-31,-13,1,0,4
-36,-7,47,7,16,0,4
48,7,-34,-10,1,0,4
-37,-4,47,8,16,0,4
48,8,-36,-7,1,0,4
-37,-1,47,9,16,0,4
48,9,-37,-4,1,0,4
-36,2,47,10,16,0,4
48,10,-37,-1,1,0,4
-34,5,47,11,16,0,4
48,11,-36,2,1,0,4
-31,8,47,12,16,0,4
48,12,-34,5,1,0,4
-27,11,47,13,16,0,4
48,13,-31,8,1,0,4
-22,14,47,14,16,0,4
48,14,-27,11,1,0,4
-16,17,47,15,16,0,4
48,15,-22,14,1,0,4
-10,19,47,16,16,0,4
48,16,-16,17,1,0,4
-4,20,47,17,16,0,4
48,17,-10,19,1,0,4
2,20,47,18,16,0,4
48,18,-4,20,1,0,4
8,19,47,19,16,10,4
48,19,2,20,1,0,4
14,17,47,20,16,8,4
48,20,8,19,1,0,4
20,14,47,21,16,0,4
48,21,14,17,1,0,4
25,11,47,22,16,0,4
48,22,20,14,1,0,4
29,8,47,23,16,15,4
48,23,25,11,1,0,4
32,5,47,24,16,10,4
48,24,29,8,1,0,4
34,2,47,25,16,0,4
48,25,32,5,1,0,4
35,-1,47,26,16,0,4
48,26,34,2,1,0,4
35,-4,47,27,16,0,4
48,27,35,-1,1,0,4
34,-7,47,28,16,0,4
48,28,35,-4,1,0,4
32,-10,47,29,16,0,4
48,29,34,-7,1,0,4
29,-13,47,30,16,0,4
48,30,32,-10,1,0,4
25,-16,47,31,16,0,4
48,31,29,-13,1,0,4
20,-19,47,32,16,0,4
48,32,25,-16,1,0,4
14,-22,47,33,16,0,4
48,33,20,-19,1,0,4
8,-24,47,34,16,0,4
48,34,14,-22,1,0,4
2,-25,47,35,16,0,4
48,35,8,-24,1,0,4
-4,-25,47,36,16,0,4
48,36,2,-25,1,0,4
-10,-24,47,37,16,0,4
48,37,-4,-25,1,0,4
-16,-22,47,38,16,0,4
48,38,-10,-24,1,0,4
-22,-19,47,39,16,0,4
48,39,-16,-22,1,0,4
-27,-16,47,40,16,0,4
48,40,-22,-19,1,0,4
-31,-13,47,41,16,0,4
48,41,-27,-16,1,0,4
-34,-10,47,42,16,0,4
48,42,-31,-13,1,0,4
-36,-7,47,43,16,0,4
48,43,-34,-10,1,0,4
-37,-4,47,44,16,0,4
48,44,-36,-7,1,0,4
-37,-1,47,45,16,0,4
48,45,-37,-4,1,0,4
-36,2,47,46,16,0,4
48,46,-37,-1,1,0,4
-34,5,47,47,16,0,4
48,47,-36,2,1,0,4
-31,8,47,48,16,0,4
48,48,-34,5,1,0,4
-27,11,47,48,16,0,4
48,49,-31,8,1,0,4
-22,14,48,49,16,0,4
47,49,-27,11,1,0,4
-16,17,46,48,16,0,4
46,49,-22,14,1,0,4
-10,19,45,48,16,0,4
45,49,-16,17,1,0,4
-4,20,44,48,16,0,4
44,49,-10,19,1,0,4
2,20,43,48,16,0,4
43,49,-4,20,1,0,4
8,19,42,48,16,1,4
42,49,2,20,1,0,4
14,17,41,48,16,6,4
41,49,8,19,1,0,4
20,14,40,48,16,0,4
40,49,14,17,1,0,4
25,11,39,48,16,0,4
39,49,20,14,1,0,4
29,8,38,48,16,0,4
38,49,25,11,1,0,4
32,5,37,48,16,0,4
37,49,29,8,1,0,4
34,2,36,48,16,0,4
36,49,32,5,1,0,4
35,-1,35,48,16,0,4
35,49,34,2,1,0,4
35,-4,34,48,16,0,4
34,49,35,-1,1,0,4
34,-7,33,48,16,0,4
33,49,35,-4,1,0,4
32,-10,32,48,16,0,4
32,49,34,-7,1,0,4
29,-13,31,48,16,0,4
31,49,32,-10,1,0,4
25,-16,30,48,16,0,4
30,49,29,-13,1,0,4
20,-19,29,48,16,0,4
29,49,25,-16,1,0,4
14,-22,28,48,16,0,4
28,49,20,-19,1,0,4
8,-24,27,48,16,0,4
27,49,14,-22,1,0,4
2,-25,26,48,16,0,4
26,49,8,-24,1,0,4
-4,-25,25,48,16,0,4
25,49,2,-25,1,0,4
